speciesid,spec_code,genus,species,f_bname,kingdom,phylum,class,order,family,v11,v12
W-Msc-505704,84551,Mactra,luzonica,Luzon troughshell,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,,
SLB-92918,86825,Turbo,bruneus,brown Pacific turban,Animalia,Mollusca,Gastropoda,Patellogastropoda,Turbinidae,,
W-Msc-597106,87209,Gymnodoris,rubropapulosa,orange spotted gymnodoris,Animalia,Mollusca,Gastropoda,Nudibranchia,Gymnodorididae,,
W-Msc-527355,87327,Glossodoris,pallida,pallid glossodoris,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,,
SLB-95494,88304,Perophora,modificata,,Animalia,Chordata,Ascidiacea,Enterogona,Perophoridae,,
W-Sca-344409,88613,Episiphon,subtorquatum,,Animalia,Mollusca,Scaphopoda,Dentaliida,Gadilinidae,,
SLB-96340,88783,Compressidens,comprimatum,,Animalia,Mollusca,Scaphopoda,Gadilida,Not assigned,,
W-Sca-344199,88904,Fissidentalium,exasperatum,,Animalia,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,,
W-Msc-386010,89024,Ischnochiton,yerburyi,,Animalia,Mollusca,Polyplacophora,Chitonida,Ischnochitonidae,,
W-Sca-344500,89064,Compressidentalium,subcurvatum,,Animalia,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,,
SLB-97714,89427,Notopharyngoides,aruensis,,Animalia,Annelida,Polychaeta,Aciculata,Myzostomidae,,
W-Msc-209587,89481,Chromodoris,hamiltoni,,Animalia,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,,
W-Bch-212482,92124,Sphaerodromia,nux,,Animalia,Arthropoda,Malacostraca,Decapoda,Dynomenidae,,
SLB-101354,92615,Lysiosquilla,tredecimdentata,,Animalia,Arthropoda,Malacostraca,Stomatopoda,Lysiosquillidae,,
ITS-682579,92895,Pullosquilla,litoralis,,Animalia,Arthropoda,Malacostraca,Stomatopoda,Nannosquillidae,,
SLB-101678,92897,Pullosquilla,thomassini,,Animalia,Arthropoda,Malacostraca,Stomatopoda,Nannosquillidae,,
SLB-102134,93233,Parvisquilla,multituberculata,,Animalia,Arthropoda,Malacostraca,Stomatopoda,Squillidae,,
SLB-103490,94083,Chthamalus,malayensis,,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,,
W-Msc-215540,94298,Conus,aculeiformis,spindle cone,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,,
W-Msc-215562,94309,Conus,articulatus,,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,,
W-Pol-334441,100436,Perinereis,floridana,,Animalia,Annelida,Polychaeta,Aciculata,Nereididae,,
W-Pol-209795,100438,Perinereis,vancaurica,,Animalia,Annelida,Polychaeta,Aciculata,Nereididae,,
W-Pol-129975,101183,Protocirrineris,chrysoderma,,Animalia,Annelida,Polychaeta,Aciculata,Pholoidae,,
W-Msc-507152,101338,Gari,pulcherrima,,Animalia,Mollusca,Bivalvia,Veneroida,Psammobiidae,,
W-Pol-209728,101605,Leocrates,claparedii,,Animalia,Annelida,Polychaeta,Aciculata,Hesionidae,,
W-Bch-210267,103030,Hyastenus,borradailei,,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,,
W-Bch-211018,103051,Banareia,armata,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
W-Msc-464157,103171,Epicodakia,sweeti,,Animalia,Mollusca,Bivalvia,Veneroida,Lucinidae,,
W-Bch-441454,103189,Huenia,brevifrons,,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,,
W-Msc-207864,103728,Spondylus,anacanthus,,Animalia,Mollusca,Bivalvia,Ostreoida,Spondylidae,,
SLB-117471,105369,Cycloseris,patelliformis,kneecap coral,Animalia,Cnidaria,Anthozoa,Scleractinia,Fungiidae,,
W-Msc-593614,105626,Rissoina,costata,,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae,,
W-Hol-242106,105689,Actinopyga,caerulea,blue sea cucumber,Animalia,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,,
W-Bch-209014,106144,Pseudoliomera,granosimana,,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,,
W-Msc-221112,106256,Thyca,crystallina,,Animalia,Mollusca,Gastropoda,Mesogastropoda,Thycidae,,
W-Por-178376,129736,Siphonodictyon,mucosum,slimy boring sponge,Animalia,Porifera,Demospongiae,Haplosclerida,Phloeodictyidae,,
W-Bch-207563,129856,Neosarmatium,meinerti,,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,,
SLB-155210,129883,Philocheras,incisus,,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,,
SLB-155691,130110,Dardanus,dearmatus,,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,,
SLB-155734,130140,Nematopagurus,gardineri,,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,,
SLB-156239,130432,Metaverruca,sculpta,,Animalia,Arthropoda,Maxillopoda,Sessilia,Verrucidae,,
